Symbol,Company Name,Price,Market Cap (in M),P/E Ratio,Beta,Volume 52 weeks,Volume 1 month,52 Weeks High,52 Weeks Low,Exchange,Performance (52 weeks),Country,Chiffre d'affaires,Résultat net,Sector,Industry,Price 52 Weeks Ago,Currency,Total assets,EPS Annual,Dividend Per Share Annual,EBITDA CAGR (5y),EBITDA,ROI Annual,Ratio Debt/Equity (Annual),Dividend Yield Indicated Annual
COLM,Columbia Sportswear Co,81.835,4781.357487006338,18.8361,0.6283727,461903.9130434783,556895.4166666666,87.23,66.01,NASDAQ,0.0981482138723397,US,3385903104.0,227407008.0,Consumer Cyclical,Apparel Manufacturing,74.54002380371094,USD,1250472000.0,4.0929,1.203,1.65,421724992.0,12.97,0.0,1.4912391
HCKT,Hackett Group Inc,25.555,711.3564919996895,20.4976,0.404137,97656.14229249013,127029.33333333331,27.68,20.23,NASDAQ,0.0902173665163448,US,297424000.0,34749000.0,Technology,Information Technology Services,23.44582748413086,USD,59623000.0,1.2357,0.442,7.93,59527000.0,27.81,0.3631,1.7074118
LFUS,Littelfuse Inc,241.95,5987.85872101257,22.3872,1.1257148,118391.73913043478,100371.25,275.45,212.8,NASDAQ,-0.0609168502723423,US,2234752000.0,194587008.0,Technology,Electronic Components,257.6005554199219,USD,571505000.0,10.3372,2.5008,9.88,427772000.0,7.739999999999999,0.3519,1.1970928
BRKR,Bruker Corp,63.36,9508.43683303947,21.3613,1.4822791,942371.837944664,1164853.125,94.75,53.81,NASDAQ,-0.0424400031408586,US,3119699968.0,352100000.0,Healthcare,Medical Devices,66.16031646728516,USD,1431900000.0,2.9022,0.2013,16.52,551400000.0,16.07,0.9305,0.33167496
VALU,Value Line Inc,42.8099,400.8657735868853,21.3974,0.467746,3946.102766798419,10802.666666666666,60.27,32.07,NASDAQ,-0.2154069132282351,US,37487000.0,19016000.0,Financial Services,Financial Data & Stock Exchanges,54.52693557739258,USD,16673000.0,2.0169,1.1222,12.58,10488000.0,20.94,0.0,2.8578234
ARTNA,Artesian Resources Corp,37.64,384.2556339727475,22.1846,0.5840579,49199.513833992096,40611.54166666666,47.88,33.34,NASDAQ,-0.1543946335056991,US,103075000.0,18287000.0,Utilities,Utilities - Regulated Water,44.49204254150391,USD,16648000.0,1.6662,1.1364,4.92,44989000.0,4.06,0.7837,3.2869856
SGA,Saga Communications Inc,16.0,101.02599772064517,10.219,0.14224094,18553.13492063492,12869.130434782608,26.96,14.215,NASDAQ,-0.118363925711678,US,112133000.0,6918000.0,Communication Services,Broadcasting,18.141815185546875,USD,43587000.0,1.5715,3.2145,-8.86,14193000.0,5.57,0.0,6.4516125
CRCT,Cricut Inc,6.5,1385.2313969239303,23.6367,0.17199579,654955.5317460317,646360.6086956522,11.42,4.43,NASDAQ,-0.3368466400949399,US,741494016.0,67929000.0,Technology,Computer Hardware,9.790630340576172,USD,928099000.0,0.2441,1.3442,17.2,133451000.0,10.03,0.0,1.5847862
CHDN,Churchill Downs Inc,134.86,9929.59192271011,23.2987,1.1913271,408702.6666666667,464429.2173913043,146.54,106.82,NASDAQ,0.0957957773837876,US,2615300096.0,407500000.0,Consumer Cyclical,Gambling,123.10122680664062,USD,241727000.0,5.4836,0.363,22.59,856300032.0,7.23,5.4585,0.2884543
PAHC,Phibro Animal Health Corp,17.46,713.67357296,21.7427,0.90265626,149978.4841269841,122759.91304347826,19.55,9.4,NASDAQ,0.1918928765569005,US,999564032.0,13162000.0,Healthcare,Drug Manufacturers - Specialty & Generic,14.656014442443848,USD,299289000.0,0.8049,0.48,-3.24,93794000.0,4.3,1.6807,2.8235295
SLP,Simulations Plus Inc,36.85,732.2831906214071,74.0849,1.0634233,112118.65873015871,185382.69565217392,52.51,32.86,NASDAQ,-0.2355996058140524,US,66978000.0,9645000.0,Healthcare,Health Information Services,48.17224884033203,USD,12971830.0,0.4866,0.2393,-1.82,13694000.0,5.86,0.0,0.64412236
